,RAL code,r,g,b,Name
1,1000,214,199,148,GreenBeige Green
2,1001,217,186,140,Beige Grey
3,1002,198,166,100,SandYellow Brown
4,1003,229,190,1,SignalYellow Yellow
5,1004,205,164,52,GoldenYellow Yellow
6,1005,169,131,7,HoneyYellow Brown
7,1006,228,160,16,MaizeYellow Yellow
8,1007,220,156,0,DaffodilYellow Yellow
9,1011,138,102,66,BrownBeige Brown
10,1012,199,180,70,LemonYellow Green
11,1013,234,220,202,OysterWhite White
12,1014,225,204,79,Ivory Yellow
13,1015,230,214,144,LightIvory Grey
14,1016,237,255,33,SulfurYellow Yellow
15,1017,245,208,51,SaffronYellow Yellow
16,1018,248,243,53,ZincYellow Yellow
17,1019,158,151,100,GreyBeige Grey
18,1020,153,153,80,OliveYellow Green
19,1021,243,218,11,RapeYellow Yellow
20,1023,250,210,1,TrafficYellow Yellow
21,1024,174,160,75,OchreYellow Grey
22,1026,255,255,0,LuminousYellow Yellow
23,1027,157,145,1,Curry Green
24,1028,244,169,0,MelonYellow Orange
25,1032,214,174,1,BroomYellow Green
26,1033,243,165,5,DahliaYellow Yellow
27,1034,239,169,74,PastelYellow Brown
28,1035,106,93,77,PearlBeige Blue
29,1036,112,83,53,PearlGold Brown
30,1037,243,159,24,SunYellow Yellow
31,2000,237,118,14,YellowOrange Orange
32,2001,201,160,132,RedOrange Red
33,2002,203,40,33,Vermillion Red
34,2003,255,117,20,PastelOrange Orange
35,2004,244,70,17,PureOrange Orange
36,2005,255,35,1,LuminousOrange Orange
37,2007,255,164,32,LuminousBrightOrange Yellow
38,2008,247,94,37,BrightRedOrange Red
39,2009,245,64,33,TrafficOrange Red
40,2010,216,75,32,SignalOrange Red
41,2011,236,124,38,DeepOrange Brown
42,2012,235,106,14,SalmonOrange Red
43,2013,195,88,49,PearlOrange Brown 
44,3000,175,43,30,FlameRed Red 
45,3001,165,32,25,SignalRed Red
46,3002,162,35,29,CarmineRed Red
47,3003,155,17,30,RubyRed Red
48,3004,117,21,30,PurpleRed Red
49,3005,94,33,41,WineRed Red
50,3007,65,34,39,BlackRed Black
51,3009,100,36,36,OxideRed Red
52,3011,120,31,25,BrownRed Red
53,3012,193,135,107,BeigeRed Grey
54,3013,161,35,18,TomatoRed Red
55,3014,211,110,112,AntiquePink Red
56,3015,234,137,154,LightPink Red
57,3016,179,40,33,CoralRed Red
58,3017,230,50,68,Rose Red
59,3018,213,48,50,StrawberryRed Red
60,3020,204,6,5,TrafficRed Red
61,3022,217,80,48,SalmonPink Red
62,3024,248,0,0,LuminousRed Red
63,3026,254,0,0,LuminousBrightRed Red
64,3027,197,29,52,RaspBerryRed Red
65,3028,203,50,52,PureRed Red
66,3031,179,36,40,OrientRed Red
67,3032,114,20,34,PearlRubyRed Red
68,3033,180,76,67,PearlPink Red
69,4001,109,63,91,RedLillac Violet
70,4002,146,43,62,RedViolet Red
71,4003,222,76,138,HeatherViolet Violet
72,4004,110,28,52,ClaretViolet Violet
73,4005,108,70,117,BlueLillac Blue
74,4006,160,52,114,TrafficPurple Violet
75,4007,74,25,44,PurpleViolet Violet
76,4008,146,78,125,SignalViolet Violet
77,4009,164,125,144,PastelViolet Grey
78,4010,215,45,109,Telemagenta Red
79,4011,134,115,161,PearlViolet Blue
80,4012,108,104,129,PearlBlackberry Blue
81,5000,42,46,75,VioletBlue Blue
82,5001,31,52,56,greenBlue Blue
83,5002,32,33,79,UltramarineBlue Blue
84,5003,29,30,51,SaphireBlue Blue
85,5004,24,23,28,BlackBlue Black
86,5005,30,45,110,SignalBlue Blue
87,5007,62,95,138,BrilliantBlue Blue
88,5008,38,37,45,GreyBlue Black
89,5009,2,86,105,AzureBlue Blue
90,5010,14,41,75,GentianBlue Blue
91,5011,35,26,36,SteelBlue Black
92,5012,59,131,189,LightBlue Blue
93,5013,37,41,74,CobaltBlue Blue
94,5014,96,111,140,PigeonBlue Blue
95,5015,34,113,179,SkyBlue Blue
96,5017,6,57,113,TrafficBlue Blue
97,5018,63,136,143,TurquoiseBlue Blue
98,5019,27,85,131,CapriBlue Blue
99,5020,29,51,74,OceanBlue Blue
100,5021,37,109,123,WaterBlue Blue
101,5022,37,40,80,NightBlue Blue
102,5023,73,103,141,DistantBlue Blue
103,5024,93,155,155,PastelBlue Blue
104,5025,42,100,120,PearlgentianBlue Blue
105,5026,16,44,84,PearlnightBlue Blue
106,6000,49,102,180,PatinaGreen Green
107,6001,40,114,51,EmeraldGreen Green
108,6002,45,87,44,LeafGreen Green
109,6003,66,70,50,OliveGreen Green
110,6004,31,58,61,BlueGreen Blue
111,6005,47,69,56,MossGreen Green
112,6006,62,59,50,GreyOlive Grey
113,6007,52,59,41,BottleGreen Green
114,6008,57,53,42,BrownGreen Brown
115,6009,49,55,43,FirGreen Green
116,6010,53,104,45,GrassGreen Green
117,6011,88,144,70,ResedaGreen Green
118,6012,52,62,64,BlackGreen Black
119,6013,108,113,86,ReedGreen Grey
120,6014,71,64,64,YellowOlive Brown 
121,6015,59,60,54,BlackOlive Violet
122,6016,30,89,69,TurquoiseGreen Green
123,6017,76,145,65,MayGreen Green
124,6018,87,166,57,YellowGreen Green
125,6019,189,236,182,PastelGreen White
126,6020,46,58,35,ChromeGreen Green 
127,6021,137,172,118,PaleGreen Green
128,6022,37,34,27,OliveDrab Black
129,6024,48,132,70,TrafficGreen Green
130,6025,61,100,45,FernGreen Green
131,6026,1,93,82,OpalGreen Blue
132,6027,132,195,190,LightGreen Blue
133,6028,44,85,69,PineGreen Green
134,6029,32,96,61,MintGreen Green
135,6032,49,127,67,SignalGreen Green
136,6033,73,126,118,MintTurquoise Green
137,6034,127,181,181,PastelTurquoise Green
138,6035,28,84,45,PearlGreen Green
139,6036,22,53,55,PearlOpalGreen Blue
140,6037,0,143,57,PureGreen Green
141,6038,0,187,45,LuminousGreen Green
142,7000,120,133,139,SquirrelGrey Grey
143,7001,138,149,151,SilverGrey Grey
144,7002,126,123,82,OliveGrey Brown
145,7003,108,112,89,MossGrey Grey
146,7004,150,153,146,SignalGrey Grey
147,7005,100,107,99,MouseGrey Grey
148,7006,109,101,82,BeigeGrey Grey
149,7008,106,95,49,KhakiGrey Brown
150,7009,77,86,69,GreenGrey Grey
151,7010,76,81,74,TarpaulinGrey Grey
152,7011,67,75,77,IronGrey Grey
153,7012,78,87,84,BasaltGrey Grey
154,7013,70,69,49,BrownGrey Brown
155,7015,67,71,80,SlateGrey Blue
156,7016,41,49,51,AnthraciteGrey Black
157,7021,35,40,43,BlackGrey Black
158,7022,51,47,44,UmbraGrey Black
159,7023,104,108,94,ConcreteGrey Grey 
160,7024,71,74,81,GraphiteGrey Blue
161,7026,47,53,59,GraniteGrey Grey
162,7030,139,140,122,StoneGrey Grey
163,7031,71,75,78,BlueGrey Blue
164,7032,184,183,153,PebbleGrey Grey
165,7033,125,132,113,SilverGrey Grey
166,7034,143,139,102,YellowGrey Grey
167,7035,215,215,215,LightGrey White
168,7036,127,118,121,PlatinumGrey Blue
169,7037,125,127,120,DustyGrey Grey
170,7038,195,195,195,AgateGrey Grey
171,7039,108,105,96,QuartzGrey Grey
172,7040,157,161,170,WindowGrey Grey
173,7042,141,148,141,TrafficGreyA Grey
174,7043,78,84,82,TrafficGreyB Black
175,7044,202,196,176,SilkGrey White
176,7045,144,144,144,TeleGrey1 Blue
177,7046,130,137,143,TeleGrey2 Blue 
178,7047,208,208,208,TeleGrey4 White
179,7048,137,129,118,PearlMouseGrey Grey
180,8000,130,108,52,GreenBrown Brown
181,8001,149,95,32,OchreBrown Brown
182,8002,108,159,42,SignalBrown Brown
183,8003,115,66,34,ClayBrown Brown
184,8004,142,64,42,CopperBrown Red
185,8007,89,53,31,FawnBrown Brown
186,8008,111,79,40,OliveBrown Brown
187,8011,91,58,41,NutBrown Brown
188,8012,89,35,33,RedBrown Red
189,8014,56,44,30,SepiaBrown Black
190,8015,99,58,52,ChestNutBrown Violet
191,8016,76,47,39,MahoganyBrown Brown
192,8017,69,50,46,ChocolateBrown Brown
193,8019,64,58,58,GreyBrown Grey
194,8022,33,33,33,BlackBrown Black
195,8023,166,94,46,OrangeBrown Orange
196,8024,121,85,61,BeigeBrown Brown
197,8025,117,92,72,PaleBrown Brown
198,8028,78,59,49,TerraBrown Brown
199,8029,118,60,40,PearlCopper Red
200,9001,250,244,227,Cream White
201,9002,231,235,218,GreyWhite White
202,9003,244,244,244,SignalWhite White
203,9004,40,40,40,SignalBlack Black
204,9005,10,10,10,JetBlack Black
205,9006,165,165,165,WhiteAluminium Grey
206,9007,143,143,143,GreyAluminium Grey
207,9010,255,255,255,PureWhite White
208,9011,28,28,28,GraphiteBlack Black
209,9016,246,246,246,TrafficWhite White
210,9017,30,30,30,TrafficBlack Black
211,9018,215,215,215,PapyrusWhite Grey
212,9022,156,156,156,PearlLightGrey Grey
213,9023,130,130,130,PearlDarkGrey Grey
